Time,Distance
4.669271,0.09768509
4.676697,0.09841181
4.683389,0.09895062
4.691354,0.0994474
4.697663,0.09972905
4.705733,0.09994462
4.713581,0.09999823
4.720601,0.09991573
4.728211,0.09968725
4.735898,0.09930999
4.74319,0.09881646
4.750334,0.0982056
4.757986,0.09741237
4.763997,0.09668922
4.772969,0.09544759
4.779893,0.0943578
4.787504,0.09302965
4.795185,0.09155269
4.802736,0.08996905
4.810345,0.08824362
4.816438,0.08676966
4.824753,0.08462864
4.832325,0.08255174
4.840194,0.08026766
4.847527,0.07802758
4.8558,0.07537448
4.861918,0.07332899
4.870012,0.07051834
4.875751,0.06845497
4.883047,0.06575089
4.892012,0.06230853
4.897855,0.05999736
4.905885,0.05673782
4.912951,0.05379328
4.920074,0.05075758
4.927061,0.04771754
4.933555,0.04483933
4.94102,0.04147247
4.947919,0.03830979
4.956105,0.03449786
4.96266,0.03140369
4.970882,0.02747513
4.977355,0.02434908
4.984779,0.02073296
4.992579,0.01690332
4.99964,0.01341362
5.007698,0.009411335
5.014985,0.005778456
5.021522,0.002512979
5.028156,0.0008040087
5.034311,0.003880359
5.042459,0.007946662
5.048868,0.01113682
5.056819,0.01507773
5.063466,0.01835399
5.070309,0.02170605
5.077142,0.02502809
5.083309,0.02800083
5.092963,0.03260025
5.099225,0.03554384
5.107369,0.0393196
5.114485,0.04256541
5.121797,0.0458445
5.12909,0.04905384
5.135514,0.0518272
5.142591,0.05482031
5.149326,0.05760519
5.158066,0.06112094
5.164732,0.06372469
5.173413,0.06700857
5.180029,0.06942701
5.187684,0.07212992
5.194248,0.0743641
5.201312,0.07667842
5.209118,0.07912498
5.215302,0.08097748
5.22316,0.08321967
5.230628,0.08523172
5.237794,0.0870505
5.245696,0.0889267
5.253314,0.09060396
5.260301,0.09202665
5.267535,0.09338163
5.27535,0.09470787
5.282345,0.09577243
5.290485,0.09686371
5.297122,0.09763482
5.304234,0.0983417
5.310832,0.09888635
5.317945,0.09935307
5.325819,0.09972304
5.332994,0.09992564
5.341726,0.09999871
5.348738,0.0999194
5.356341,0.09969466
5.363321,0.09936145
5.371433,0.09882223
5.378669,0.09820402
5.384883,0.09757055
5.393389,0.09655082
5.400474,0.09556806
5.408483,0.09431295
5.414763,0.09322258
5.422665,0.09172063
5.430513,0.09008697
5.438579,0.08826356
5.445763,0.08651858
5.453998,0.08438095
5.461215,0.08238985
5.467783,0.08048479
5.474805,0.07835175
5.481855,0.07611334
5.490845,0.07312211
5.497906,0.0706686
5.505434,0.06795608
5.512683,0.06525286
5.519502,0.06263192
5.526828,0.05973494
5.534189,0.05674353
5.541717,0.05360491
5.549091,0.05045642
5.556972,0.04701611
5.563704,0.04401953
5.571244,0.04060373
5.578516,0.03725487
5.585297,0.03408762
5.592871,0.03050399
5.599837,0.02716878
5.607903,0.02326673
5.614799,0.0198999
5.621967,0.01637564
5.629734,0.01253332
5.637742,0.008552194
5.644624,0.005118986
5.651824,0.001521617
5.659405,0.002268985
5.666079,0.00560315
5.674963,0.0100314
5.680825,0.01294272
5.688972,0.01697032
5.69506,0.01996159
5.703129,0.02389769
5.710299,0.02736258
5.716904,0.03052362
5.725571,0.03462018
5.732847,0.03800962
5.740248,0.04140571
5.746896,0.04440772
5.754704,0.04787107
5.760746,0.05050139
5.768263,0.05370891
5.775385,0.05667787
5.78187,0.059319
5.789532,0.06235885
5.795678,0.0647313
5.802309,0.0672226
5.80965,0.06989415
5.815456,0.07194056
5.823837,0.07478732
5.830525,0.07696497
5.837643,0.07918788
5.844333,0.08118609
5.851579,0.08324745
5.859172,0.08529059
5.865437,0.08688372
5.87388,0.08889585
5.880732,0.09041244
5.889474,0.09219319
5.895765,0.09336577
5.903288,0.09464664
5.910831,0.09579652
5.917501,0.09669983
5.92492,0.09757815
5.932112,0.09830154
5.939871,0.09893938
5.946463,0.0993643
5.953073,0.09968203
5.958852,0.09987063
5.964543,0.09997488
5.971554,0.09999201
5.978171,0.09989548
5.984847,0.09968727
5.9934,0.09925832
5.999459,0.09884452
6.008727,0.0980363
6.015417,0.09732192
6.024123,0.09622929
6.03102,0.09523423
6.038078,0.09409871
6.0439,0.09307378
6.050985,0.09172019
6.058769,0.09010058
6.065342,0.08862644
6.072783,0.08684207
6.07921,0.08520437
6.085991,0.0833808
6.093316,0.08130356
6.106234,0.07737621
6.118942,0.07319744
6.123423,0.07165276
6.130229,0.06923815
6.137364,0.06662028
6.144004,0.06410813
6.151876,0.06103832
6.159153,0.05811651
6.165133,0.05565755
6.173546,0.0521148
6.179841,0.0494033
6.187222,0.04616169
6.195139,0.04261493
6.202477,0.03926767
6.209871,0.03584155
6.216441,0.03275599
6.224532,0.02890793
6.231644,0.0254865
6.239184,0.02182369
6.245587,0.01868873
6.253632,0.01472314
6.259365,0.01188216
6.266185,0.008489733
6.274886,0.004148683
6.281552,0.0008165825
6.290209,0.003511224
6.297016,0.006909718
6.303547,0.01016322
6.310109,0.01342101
6.31533,0.01600311
6.322583,0.01957151
6.329862,0.02312716
6.337423,0.02678764
6.343359,0.02963497
6.349792,0.03269118
6.357404,0.03626327
6.363853,0.03924914
6.371553,0.04276023
6.377769,0.04554867
6.383555,0.04810462
6.392186,0.05184193
6.398222,0.05439886
6.405504,0.05741722
6.412422,0.06021444
6.419168,0.06287231
6.426315,0.06561081
6.433142,0.06814807
6.440322,0.07073089
6.446766,0.07297162
6.45447,0.0755502
6.461223,0.07771899
6.467952,0.07979181
6.475352,0.08196685
6.481587,0.08371269
6.489478,0.08580523
6.495615,0.08734047
6.503803,0.08926029
6.510421,0.0907031
6.516318,0.09190511
6.524612,0.0934601
6.531074,0.09456027
6.537804,0.09560123
6.544292,0.09650242
6.551297,0.09736121
6.558992,0.09816698
6.564977,0.0986933
6.57266,0.09923936
6.578322,0.09954801
6.584906,0.09980667
6.59313,0.0999778
6.59955,0.09999392
6.607033,0.0998827
6.613715,0.09966519
6.620814,0.09931224
6.62778,0.09884433
6.634871,0.09824481
6.641787,0.09754124
6.648934,0.09669155
6.657123,0.09556635
6.663747,0.09453877
6.671451,0.09321352
6.677611,0.09205403
6.684163,0.09072524
6.692148,0.08897422
6.698391,0.08750623
6.706655,0.08543233
6.713591,0.08357868
6.72117,0.08143852
6.728678,0.07920309
6.735845,0.07696527
6.742745,0.07471696
6.749422,0.07245704
6.758484,0.06926062
6.767088,0.06609452
6.775152,0.06301606
6.782237,0.06022631
6.790477,0.05688725
6.797258,0.05406665
6.80448,0.05099437
6.81084,0.04823364
6.818261,0.04495079
6.825952,0.04148323
6.83295,0.0382749
6.840628,0.0347008
6.847019,0.03168694
6.854912,0.02791993
6.861863,0.02456638
6.868709,0.02123461
6.874982,0.01815975
6.880707,0.01533774
6.888082,0.01168411
6.894029,0.008726569
6.901227,0.005136255
6.911809,0.0001524694
6.919748,0.004120877
6.925491,0.006988048
6.932169,0.01031438
6.941061,0.01472504
6.948239,0.01826455
6.95631,0.02221628
6.962599,0.02527067
6.970498,0.02907114
6.977794,0.03254147
6.984888,0.03587415
6.992545,0.03942094
6.99914,0.04242936
7.007431,0.04614563
7.014129,0.04909024
7.021521,0.05227604
7.029437,0.05560812
7.037166,0.05877784
7.043442,0.06128716
7.050584,0.06406919
7.058319,0.06698988
7.065026,0.06944184
7.073203,0.07232501
7.079587,0.07449225
7.087693,0.07713412
7.094425,0.07923204
7.102823,0.08172341
7.109508,0.08360367
7.11593,0.08532198
7.123415,0.08721392
7.131536,0.08912823
7.139884,0.09094244
7.146675,0.09230182
7.154583,0.09375059
7.1619,0.09496079
7.169707,0.09611168
7.177346,0.09709599
7.184069,0.09784513
7.191272,0.0985252
7.197479,0.09900867
7.205226,0.09947837
7.212885,0.09979596
7.220154,0.09996208
7.227207,0.09999702
7.234818,0.09989526
7.241926,0.09966959
7.249137,0.099312
7.256999,0.09877507
7.263854,0.09818234
7.272138,0.0973122
7.278525,0.09652724
7.286309,0.09543771
7.293496,0.0943033
7.300655,0.09305232
7.308198,0.09160504
7.314968,0.09019532
7.322408,0.088527
7.329609,0.08679519
7.337,0.0849013
7.34353,0.08313122
7.351951,0.08071791
7.359375,0.07847177
7.366027,0.07636686
7.374069,0.07370979
7.380809,0.07139104
7.388327,0.06870903
